step,reward,success,max_task,mode
3771,-53.75385987428165,0,0.0,train
3777,-69.53936436819117,0,0.0,train
3780,-92.9386025947071,0,0.0,train
3784,-70.15609803692455,0,0.0,train
3804,-8.40762550496801,0,0.0,train
3810,-87.97533993235538,0,0.0,train
3814,-69.67488504119626,0,0.0,train
3838,-7.386013435864932,0,0.0,train
3867,-59.837290642948,0,0.0,train
3872,-74.68833072030203,0,0.0,train
3877,-66.46826433368854,0,0.0,train
3883,-65.9177996982869,0,0.0,train
3886,-79.1935138987546,0,0.0,train
3904,3.362535339203724,0,0.0,train
3908,-130.13853191893537,0,0.0,train
3913,-50.31876461879597,0,0.0,train
3918,-37.66209657738987,0,0.0,train
3921,-85.30728958780057,0,0.0,train
3926,-59.095000045502694,0,0.0,train
3930,-77.0999937556536,0,0.0,train
3934,-64.02494671525892,0,0.0,train
3938,-64.91707436455006,0,0.0,train
3943,-39.15137938259829,0,0.0,train
3959,2.100043248003331,0,0.0,train
3964,-132.90644919811274,0,0.0,train
3969,-62.34064170250012,0,0.0,train
3975,-53.727602158868045,0,0.0,train
3980,-56.68345399726436,0,0.0,train
3986,-38.96706169823429,0,0.0,train
3995,-48.11783263641881,0,0.0,train
4010,-23.158007369369297,0,0.0,train
4015,-121.27932477101533,0,0.0,train
4019,-74.37295857435763,0,0.0,train
4022,-82.31315739138424,0,0.0,train
4026,-64.85271650798686,0,0.0,train
4045,0.6258627370854697,0,0.0,train
4049,-132.1546848751059,0,0.0,train
4054,-56.30597504186565,0,0.0,train
4065,-25.944889704546707,0,0.0,train
4071,-124.36650007338366,0,0.0,train
4077,-56.50966780353977,0,0.0,train
4096,27.94725260408884,0,0.0,train
4103,-164.3822482063538,0,0.0,train
4109,-64.349942086935,0,0.0,train
4113,-65.98134944617479,0,0.0,train
4117,-53.987602067588085,0,0.0,train
4122,-67.24280159844695,0,0.0,train
4132,-23.84996822790009,0,0.0,train
4141,-48.54824846706396,0,0.0,train
4158,-31.11581685716603,0,0.0,train
4162,-99.73243273110867,0,0.0,train
4170,-69.14358769999907,0,0.0,train
4193,-32.08471679748226,0,0.0,train
4198,-69.40665281089085,0,0.0,train
4202,-77.7122999961604,0,0.0,train
4214,-3.7089863603923803,0,0.0,train
4218,-98.86616610285041,0,0.0,train
4222,-78.02299111626957,0,0.0,train
4227,-47.61311463295083,0,0.0,train
4231,-63.6615924674697,0,0.0,train
4235,-54.04817362309601,0,0.0,train
4239,-70.60473022481081,0,0.0,train
4243,-69.21040857117404,0,0.0,train
4259,9.83643809034956,0,0.0,train
4288,-129.71342132462115,0,0.0,train
4315,54.456983178631035,0,0.0,train
4321,-131.67233775321606,0,0.0,train
4326,-56.71914597998246,0,0.0,train
4330,-72.94359009669974,0,0.0,train
4337,-55.5721987395322,0,0.0,train
4340,-88.64517828333351,0,0.0,train
4343,-48.01287916581732,0,0.0,train
4347,-67.38084609292383,0,0.0,train
4351,-63.24881865037623,0,0.0,train
4357,-44.07619065170655,0,0.0,train
4361,-84.65985113025533,0,0.0,train
4370,-23.969320391348106,0,0.0,train
4375,-116.16700050713764,0,0.0,train
4382,-40.05303945302584,0,0.0,train
4386,-70.80466918202416,0,0.0,train
4391,-50.29070557885056,0,0.0,train
4395,-74.12595197258798,0,0.0,train
4407,-41.45624894786359,0,0.0,train
4421,-23.969998427629584,0,0.0,train
4425,-92.90704271308348,0,0.0,train
4429,-78.76664874585202,0,0.0,train
4436,-55.21367701704344,0,0.0,train
4451,-23.49026229750168,0,0.0,train
4456,-133.57481040927252,0,0.0,train
4460,-70.32753775216963,0,0.0,train
4465,-71.97617727849993,0,0.0,train
4469,-71.81150826245303,0,0.0,train
4475,-55.83068771255895,0,0.0,train
4479,-64.08554427148094,0,0.0,train
4483,-64.06794106273156,0,0.0,train
4487,-71.12024703664751,0,0.0,train
4492,-49.37175229523503,0,0.0,train
4512,16.827242510624778,0,0.0,train
4537,-38.86847258787665,0,0.0,train
4553,-76.41485450115479,0,0.0,train
4557,-99.86300448092138,0,0.0,train
4562,-51.06744480876833,0,0.0,train
4566,-38.14879226537545,0,0.0,train
4583,-17.14846517202013,0,0.0,train
4588,-83.50048888809684,0,0.0,train
4592,-59.9369680942922,0,0.0,train
4607,-1.2206993941978652,0,0.0,train
4612,-86.53336314690216,0,0.0,train
4617,-59.53312619523869,0,0.0,train
4620,-70.21947167076279,0,0.0,train
4636,26.527081062470472,0,0.0,train
4640,-93.23073452500435,0,0.0,train
4645,-64.54848668147432,0,0.0,train
4651,-68.19088731624271,0,0.0,train
4674,37.806292902660005,0,0.0,train
4679,-164.32698265641974,0,0.0,train
4684,-57.58265092759304,0,0.0,train
4688,-64.65282192106102,0,0.0,train
4692,-61.297299961746326,0,0.0,train
4697,-59.71652498264673,0,0.0,train
4703,-62.41117621472299,0,0.0,train
4737,-58.446763418220065,0,0.0,train
4741,-52.0779827966589,0,0.0,train
4750,-19.736919330043342,0,0.0,train
4755,-72.06844415291464,0,0.0,train
4760,-69.10560184085864,0,0.0,train
4765,-60.14212682102443,0,0.0,train
4771,-60.833324503308525,0,0.0,train
4776,-64.02269191183208,0,0.0,train
4781,-72.79418114373502,0,0.0,train
4812,-3.793488878151301,0,0.0,train
4821,-89.75123814506838,0,0.0,train
4826,-66.0685438692129,0,0.0,train
4832,-61.21701135015125,0,0.0,train
4839,-72.03912544758091,0,0.0,train
4844,-55.982882402831265,0,0.0,train
4850,-75.36435186320193,0,0.0,train
4856,-69.63428083345462,0,0.0,train
